Modulo;Função
desktop_utils.py;ativar_foco
desktop_utils.py;botao_esta_marcado
desktop_utils.py;capturar_imagem
desktop_utils.py;capturar_propriedade_elemento
desktop_utils.py;capturar_texto
desktop_utils.py;clicar
desktop_utils.py;coletar_arvore_elementos
desktop_utils.py;coletar_dado_selecionado
desktop_utils.py;coletar_dados_selecao
desktop_utils.py;coletar_situacao_janela
desktop_utils.py;conectar_app
desktop_utils.py;digitar
desktop_utils.py;encerrar_app
desktop_utils.py;esta_com_foco
desktop_utils.py;esta_visivel
desktop_utils.py;fechar_janela
desktop_utils.py;iniciar_app
desktop_utils.py;janela_existente
desktop_utils.py;localizar_diretorio_em_treeview
desktop_utils.py;localizar_elemento
desktop_utils.py;maximizar_janela
desktop_utils.py;minimizar_janela
desktop_utils.py;mover_mouse
desktop_utils.py;restaurar_janela
desktop_utils.py;retornar_janelas_disponiveis
desktop_utils.py;selecionar_aba
desktop_utils.py;selecionar_em_campo_lista
desktop_utils.py;selecionar_em_campo_selecao
desktop_utils.py;selecionar_menu
desktop_utils.py;simular_clique
desktop_utils.py;simular_digitacao;
python_utils.py;abrir_arquivo_em_bytes
python_utils.py;abrir_arquivo_excel
python_utils.py;abrir_arquivo_pdf
python_utils.py;abrir_arquivo_texto
python_utils.py;abrir_arquivo_word
python_utils.py;adicionar_ao_zip
python_utils.py;alterar_arquivo_texto
python_utils.py;caminho_existente
python_utils.py;cls
python_utils.py;coletar_arvore_caminho
python_utils.py;coletar_caminho_absoluto
python_utils.py;coletar_extensao_arquivo
python_utils.py;coletar_idioma_so
python_utils.py;coletar_versao_so
python_utils.py;coletar_nome_arquivo
python_utils.py;coletar_nome_guias_arquivo_excel
python_utils.py;coletar_pid
python_utils.py;coletar_tamanho
python_utils.py;coletar_versao_arquivo
python_utils.py;compactar
python_utils.py;converter_pdf_em_imagem
python_utils.py;copiar_arquivo
python_utils.py;copiar_pasta
python_utils.py;criar_arquivo_texto
python_utils.py;criar_pasta
python_utils.py;descompactar
python_utils.py;escrever_em_arquivo
python_utils.py;excluir_arquivo
python_utils.py;excluir_pasta
python_utils.py;extrair_texto_ocr
python_utils.py;finalizar_processo
python_utils.py;gravar_log_em_arquivo
python_utils.py;janela_dialogo
python_utils.py;ler_variavel_ambiente
python_utils.py;logar
python_utils.py;pasta_esta_vazia
python_utils.py;processo_existente
python_utils.py;recortar
python_utils.py;remover_acentos
python_utils.py;renomear
python_utils.py;retornar_arquivos_em_pasta
python_utils.py;retornar_data_hora_atual
python_utils.py;transformar_arquivo_em_base64;
web_utils.py;abrir_janela
web_utils.py;abrir_pagina
web_utils.py;atualizar_pagina
web_utils.py;aguardar_elemento
web_utils.py;alterar_atributo
web_utils.py;autenticar_navegador
web_utils.py;baixar_arquivo
web_utils.py;baixar_webdriver
web_utils.py;centralizar_elemento
web_utils.py;clicar_elemento
web_utils.py;coletar_atributo
web_utils.py;coletar_id_janela
web_utils.py;coletar_todas_ids_janelas
web_utils.py;contar_elementos
web_utils.py;encerrar_navegador
web_utils.py;escrever_em_elemento
web_utils.py;esperar_pagina_carregar
web_utils.py;executar_script
web_utils.py;extrair_texto
web_utils.py;fechar_janela
web_utils.py;fechar_janelas_menos_essa
web_utils.py;iniciar_navegador
web_utils.py;limpar_campo
web_utils.py;performar
web_utils.py;print_para_pdf
web_utils.py;procurar_elemento
web_utils.py;procurar_muitos_elementos
web_utils.py;requisitar_url
web_utils.py;retornar_codigo_fonte
web_utils.py;selecionar_elemento
web_utils.py;trocar_para
web_utils.py;validar_porta
web_utils.py;voltar_pagina;
